id,scores_available,title,question_set,date,location
28643,1,"Квиз, плиз! [стрим] SPB",143,"12 июня/Суббота, 20:00","Везде, где есть интернет"
28418,1,"Квиз, плиз! SPB",374,"12 июня/Суббота, 16:00",Puberty
28642,0,"Квиз, плиз! [стрим] SPB",143,"11 июня/Пятница, 20:00","Везде, где есть интернет"
28417,1,"Квиз, плиз! SPB",375,"11 июня/Пятница, 19:30",Rossi's Club
28416,1,"Квиз, плиз! SPB",374,"10 июня/Четверг, 19:30",Puberty
28415,1,"Квиз, плиз! SPB",375,"9 июня/Среда, 19:30",Grand Bianco
28414,1,"Квиз, плиз! SPB",374,"8 июня/Вторник, 19:30",Grand Bianco
28200,1,"Квиз, плиз! SPB",373,"6 июня/Воскресенье, 16:00",Puberty
28413,1,"Квиз, плиз! [стрим] SPB",142,"5 июня/Суббота, 20:00","Везде, где есть интернет"
28197,1,"Квиз, плиз! SPB",372,"4 июня/Пятница, 19:30",Metropolis Kitchen & Bar
28198,1,"Квиз, плиз! SPB",373,"4 июня/Пятница, 19:30",Rossi's Club
28196,1,"Квиз, плиз! SPB",373,"3 июня/Четверг, 19:30",Puberty
28195,1,"Квиз, плиз! SPB",372,"1 июня/Вторник, 19:30",Cherish
27963,1,"Квиз, плиз! SPB",371,"29 мая/Суббота, 18:00",Rossi's Club
28201,1,"Квиз, плиз! [стрим] SPB",141,"28 мая/Пятница, 20:00","Везде, где есть интернет"
27962,1,"Квиз, плиз! [Про Петербург] SPB",1,"28 мая/Пятница, 19:30",Rossi's Club
27960,1,"Квиз, плиз! SPB",370,"27 мая/Четверг, 19:30",Puberty
27961,1,"Квиз, плиз! [Про Петербург] SPB",1,"27 мая/Четверг, 19:30",Grand Bianco
27959,0,"Квиз, плиз! SPB",370,"26 мая/Среда, 19:30",Puberty
27958,1,"Квиз, плиз! SPB",371,"26 мая/Среда, 19:30",Grand Bianco
27957,1,"Квиз, плиз! SPB",370,"25 мая/Вторник, 19:30",Grand Bianco
27993,1,"Квиз, плиз! [стрим] SPB",140,"21 мая/Пятница, 20:00","Везде, где есть интернет"
27734,1,"Квиз, плиз! SPB",368,"21 мая/Пятница, 19:30",Rossi's Club
27735,1,"Квиз, плиз! SPB",369,"21 мая/Пятница, 19:30",Metropolis Kitchen & Bar
27733,1,"Квиз, плиз! SPB",367,"20 мая/Четверг, 19:30",Puberty
27732,1,"Квиз, плиз! SPB",369,"20 мая/Четверг, 19:30",Grand Bianco
27731,1,"Квиз, плиз! SPB",369,"19 мая/Среда, 19:30",Puberty
27730,0,"Квиз, плиз! SPB",368,"18 мая/Вторник, 19:30",Puberty
27740,1,"Квиз, плиз! [стрим] SPB",139,"15 мая/Суббота, 20:00","Везде, где есть интернет"
27490,0,"Квиз, плиз! SPB",367,"15 мая/Суббота, 18:00",Rossi's Club
27739,1,"Квиз, плиз! [стрим] SPB",138,"14 мая/Пятница, 20:00","Везде, где есть интернет"
27487,1,"Квиз, плиз! SPB",366,"14 мая/Пятница, 19:30",Grand Bianco
27488,1,"Квиз, плиз! SPB",367,"14 мая/Пятница, 19:30",Rossi's Club
27392,1,[Битва городов] МСК vs СПБ SPB,2,"13 мая/Четверг, 20:00",Grand Bianco
27486,0,"Квиз, плиз! SPB",366,"13 мая/Четверг, 19:30",Puberty
27317,1,"Квиз, плиз! SPB",365,"12 мая/Среда, 19:30",Grand Bianco
27311,1,"Квиз, плиз! SPB",365,"10 мая/Понедельник, 18:00",Grand Bianco
27310,0,"Квиз, плиз! SPB",363,"9 мая/Воскресенье, 18:00",Rossi's Club
27309,1,"Квиз, плиз! SPB",364,"9 мая/Воскресенье, 16:00",Grand Bianco
27546,1,"Квиз, плиз! [стрим] SPB",137,"8 мая/Суббота, 20:00","Везде, где есть интернет"
27308,1,"Квиз, плиз! SPB",364,"8 мая/Суббота, 18:00",Rossi's Club
27306,1,"Квиз, плиз! SPB",362,"7 мая/Пятница, 19:30",Rossi's Club
27304,1,"Квиз, плиз! SPB",362,"6 мая/Четверг, 19:30",Grand Bianco
27305,0,"Квиз, плиз! SPB",363,"6 мая/Четверг, 19:30",Puberty
27492,1,"Квиз, плиз! [стрим] SPB",136,"5 мая/Среда, 20:00","Везде, где есть интернет"
27303,1,"Квиз, плиз! SPB",360,"5 мая/Среда, 19:30",Grand Bianco
27062,1,"Квиз, плиз! [железные яйца] SPB",1,"3 мая/Понедельник, 16:00",Puberty
27060,1,"Квиз, плиз! SPB",361,"2 мая/Воскресенье, 16:00",Puberty
27058,1,"Квиз, плиз! [стрим] SPB",135,"1 мая/Суббота, 20:00","Везде, где есть интернет"
27055,1,"Квиз, плиз! SPB",360,"1 мая/Суббота, 18:00",Ресторан ParkKing
27056,1,"Квиз, плиз! [железные яйца] SPB",1,"1 мая/Суббота, 16:00",Grand Bianco
27057,1,"Квиз, плиз! [стрим] SPB",134,"30 апреля/Пятница, 20:00","Везде, где есть интернет"
27054,0,"Квиз, плиз! SPB",360,"30 апреля/Пятница, 19:30",Street Food Bar №1
27053,1,"Квиз, плиз! SPB",361,"30 апреля/Пятница, 19:30",Metropolis Kitchen & Bar
27052,1,"Квиз, плиз! SPB",359,"29 апреля/Четверг, 19:30",Grand Bianco
27051,1,"Квиз, плиз! SPB",359,"28 апреля/Среда, 19:30",Puberty
26831,1,"Квиз, плиз! SPB",358,"25 апреля/Воскресенье, 18:00",Grand Bianco
26829,1,"Квиз, плиз! SPB",358,"24 апреля/Суббота, 16:00",Rossi's Club
26812,1,"Квиз, плиз! [стрим] SPB",133,"23 апреля/Пятница, 20:00","Везде, где есть интернет"
26828,1,"Квиз, плиз! SPB",356,"23 апреля/Пятница, 19:30",Rossi's Club
26805,1,"Квиз, плиз! SPB",357,"22 апреля/Четверг, 19:30",Ресторан ParkKing
26803,1,"Квиз, плиз! SPB",357,"21 апреля/Среда, 19:30",Grand Bianco
26800,1,"Квиз, плиз! SPB",356,"20 апреля/Вторник, 19:30",Puberty
26797,1,"Квиз, плиз! SPB",356,"19 апреля/Понедельник, 19:30",Street Food Bar №1
26545,1,"Квиз, плиз! SPB",355,"18 апреля/Воскресенье, 18:00",Grand Bianco
26546,1,"Квиз, плиз! [стрим] SPB",132,"17 апреля/Суббота, 20:00","Везде, где есть интернет"
26543,1,"Квиз, плиз! SPB",355,"17 апреля/Суббота, 17:00",Ресторан ParkKing
26544,1,"Квиз, плиз! SPB",354,"17 апреля/Суббота, 16:00",Grand Bianco
26542,1,"Квиз, плиз! [сюрприз] SPB",2,"17 апреля/Суббота, 16:00",Rossi's Club
26541,1,"Квиз, плиз! [стрим] SPB",131,"16 апреля/Пятница, 20:00","Везде, где есть интернет"
26540,1,"Квиз, плиз! SPB",354,"16 апреля/Пятница, 19:30",Rossi's Club
26539,1,"Квиз, плиз! [сюрприз] SPB",2,"15 апреля/Четверг, 19:30",Grand Bianco
26538,1,"Квиз, плиз! SPB",353,"14 апреля/Среда, 19:30",Puberty
26537,1,"Квиз, плиз! SPB",353,"13 апреля/Вторник, 19:30",Ресторан ParkKing
26295,1,"Квиз, плиз! SPB",352,"11 апреля/Воскресенье, 16:00",Дубровский
26297,1,"Квиз, плиз! [стрим] SPB",130,"10 апреля/Суббота, 20:00","Везде, где есть интернет"
26293,1,"Квиз, плиз! SPB",352,"10 апреля/Суббота, 16:00",Rossi's Club
26296,1,"Квиз, плиз! [стрим] SPB",129,"9 апреля/Пятница, 20:00","Везде, где есть интернет"
26292,1,"Квиз, плиз! SPB",351,"9 апреля/Пятница, 19:30",Grand Bianco
26291,1,"Квиз, плиз! SPB",351,"8 апреля/Четверг, 19:30",Ресторан ParkKing
26289,1,"Квиз, плиз! SPB",350,"7 апреля/Среда, 19:30",Ресторан ParkKing
26288,1,"Квиз, плиз! SPB",350,"6 апреля/Вторник, 19:30",Ресторан ParkKing
26034,1,"Квиз, плиз! SPB",349,"4 апреля/Воскресенье, 18:00",Grand Bianco
26033,1,"Квиз, плиз! [стрим] SPB",128,"3 апреля/Суббота, 20:00","Везде, где есть интернет"
26032,1,"Квиз, плиз! SPB",349,"3 апреля/Суббота, 17:00",Ресторан ParkKing
26030,1,"Квиз, плиз! SPB",348,"3 апреля/Суббота, 15:30",Grand Bianco
26027,1,"Квиз, плиз! [стрим] SPB",127,"2 апреля/Пятница, 20:00","Везде, где есть интернет"
26025,1,"Квиз, плиз! SPB",347,"2 апреля/Пятница, 19:30",Rossi's Club
26024,1,"Квиз, плиз! SPB",348,"1 апреля/Четверг, 19:30",Grand Bianco
26023,1,"Квиз, плиз! [WTF] SPB",1,"1 апреля/Четверг, 19:30",Street Food Bar №1
26022,1,"Квиз, плиз! SPB",347,"30 марта/Вторник, 19:30",Ресторан ParkKing
25826,1,"Квиз, плиз! [стрим] SPB",126,"26 марта/Пятница, 20:00","Везде, где есть интернет"
25821,1,"Квиз, плиз! SPB",346,"26 марта/Пятница, 19:30",Rossi's Club
25818,1,"Квиз, плиз! SPB",345,"25 марта/Четверг, 19:30",Grand Bianco
25820,0,"Квиз, плиз! SPB",346,"25 марта/Четверг, 19:30",Puberty
